Column1;...1;Row.names;rowid;lat2;lon2;user_id;Column2;text2;retweeted;lang;id;created_at;noChar;iso_lang_1;prob_1;text1;classname
0;24121;26215;108414;51.3296542;12.373450300000002;29430823;;(Senior) Digital Product Designer in;FALSE;ca;1,18E+18;26.09.2019 12:55;37;en;0.828701;"(Senior) Digital Product Designer in #Leipzig (Fest)
#Figma #Scss #Js #InVision #dasauge #jobs ? https://t.co/dvKh0GR3pv";work
1;5037;120680;485238;52.30832119;4.76523399;632420479;;Jugging down my nd Liter of coffee for today. Damn! :-O (;FALSE;en;3,27E+17;24.04.2013 14:25;57;en;0.965668;Jugging down my 2nd Liter of coffee for today. Damn! :-O (@ KLM Crown Lounge 25 (Schengen)) http://t.co/ptEVSgLIOG;transport
2;12531;156862;755079;49.10480855;6.196049299999999;2159817706;;Happy Weekend ??;FALSE;en;9,54E+17;19.01.2018 10:50;17;en;0.818342;Happy Weekend ?? #Metz #Lorraine https://t.co/eRWjk1c4DL;services
3;44008;69312;235610;49.2485;-123.1088;215292728;;Good morning, Vancouver! :);FALSE;en;1,18E+18;02.10.2019 14:13;28;en;0.740567;Good morning, Vancouver! :) #Sunrise 07:13, noon 13:02, sunset 18:49 PDT (UTC-7), October 2. Day length: 11h 36m.;services
4;53090;93493;319774;49.3029535;7.466072;434326976;;Not good, not bad...disappointing;FALSE;en;1,19E+18;29.10.2019 16:55;34;en;0.881157;"Not good, not bad...disappointing
#MartinaPadberg book about
#ChaimSoutine https://t.co/UXoChsL3xl";home
5;43788;68825;235123;24.688;46.7224;215292728;;Good morning, Riyadh! :);FALSE;en;1,18E+18;25.09.2019 2:43;25;en;0.787687;Good morning, Riyadh! :) #Sunrise 05:43, noon 11:45, sunset 17:47 UTC+3, September 25. Day length: 12h 4m.;services
6;4340;117041;460051;49.6410756;6.06006735;603021612;;thats so poopoo;FALSE;en;3,30E+17;03.05.2013 16:03;15;en;0.8624700000000001;thats so poopoo;home
7;9200;145696;679900;49.5887479;6.249159400000001;1301295308;;XLCR NeoRetro Sportster by Harley-Davidson Luxembourg;FALSE;da;8,81E+17;01.07.2017 15:29;54;en;0.764178;XLCR NeoRetro Sportster by Harley-Davidson Luxembourg https://t.co/kxyyD3dFXL;transport
8;9104;145546;679738;49.61127329;6.12770012;1298568337;;Monday, June , : Spaghetti Bolognese;FALSE;it;3,42E+17;03.06.2013 11:22;37;en;0.914869;Monday, June 3, 2013: Spaghetti Bolognese http://t.co/K3qyWEWp8F;home
9;28421;34465;132233;50.43262124;4.6095854;46239171;;I'm at Tamines;FALSE;en;2,49E+16;11.01.2011 20:07;15;en;0.992363;I'm at Tamines  http://gowal.la/c/3jUvC;services
10;24194;264;771;49.61244154;6.09822398;664183;;I just finished running . km in h:m:s with;FALSE;en;8,33E+17;19.02.2017 10:42;43;en;0.992151;I just finished running 15.19 km in 1h:44m:00s with #Endomondo #endorphins https://t.co/IcOhWq0Qr2;outdoors
11;54851;97579;346909;48.85883375;2.34700295;456045381;;After an early (rainy) morning run along Seine - now ready to hit the boots of;FALSE;en;9,79E+17;28.03.2018 6:17;79;en;0.910797;After an early (rainy) morning run along Seine - now ready to hit the boots of #GlobalIndustrie and #DEIforum again… https://t.co/4EyvvxnnCe;work
12;53026;93423;319521;49.3029535;7.466072;434326976;;Really You don't want;FALSE;en;1,19E+18;02.11.2019 12:07;22;en;0.995116;"Really #Poland? 
You don't want #Muslim refugees, but you did support war over #Irak &amp; #Afganistan and over BLACK P… https://t.co/GnF3BheTDm";other
13;46055;74181;242405;42.31473205;-83.2135571;227269448;;Last days to register!Digimat Automotive TechDay on May in MI! Media partner:;FALSE;en;5,96E+17;07.05.2015 15:39;77;en;0.781572;"Last days to register!Digimat Automotive TechDay on May 12 in MI! Media partner:@JECComposites &amp; Sponsor:@esteco_mF ! http://t.co/xomDmOr3Si";work
14;40900;62920;218227;40.780709;-73.9685415;174994463;;Thank you. Thank you very much;FALSE;en;1,18E+18;23.09.2019 5:28;31;en;0.990315;"@iambaldglasses Ah, eyin ni aso mi oooo ??
Thank you. Thank you very much";other
15;36434;5252;25312;38.90147899;-77.03971234;14351673;;I'm at Ledet Adobe Training - Washington, DC (Washington, DC);FALSE;en;4,26E+17;23.01.2014 15:03;62;en;0.785455;I'm at Ledet Adobe Training - Washington, DC (Washington, DC) http://t.co/5dtbCvvmc4;work
16;29444;36045;139391;49.61623815;5.9331414;57031096;;My Garmin is clearly attempting to lead me astray:;FALSE;en;9,04E+17;03.09.2017 14:22;51;en;0.979446;My Garmin is clearly attempting to lead me astray:  https://t.co/Y5NXg8tOt7;transport
17;31867;42841;162123;49.8006153;6.4183242;69286106;;All good things have to end;FALSE;en;8,60E+17;04.05.2017 17:17;28;en;0.976681;All good things have to end @theTunnelBear - Amazon no longer fooled by your hitherto awesome (and free!) VPN service ?;services
18;23068;24459;99904;50.43185179;30.51710946;27610800;;"Coffee&amp;talks with tysovskaphoto";FALSE;und;7,42E+17;13.06.2016 10:27;36;en;0.7775489999999999;"Coffee&amp;talks with tysovskaphoto #kyivgram @ Cup&amp;Cake (???&amp;????) https://t.co/69fXRcEYVV";services
19;30598;38633;142281;34.3506;-117.7992;61220731;;: KDWPJ (Oleh) on W/CT- (Throop Peak, m, pts) . cw: [KDWPJ{NA}]: qrv now [SMS];FALSE;in;1,18E+18;23.09.2019 1:23;78;en;0.7841819999999999;01:23 KD7WPJ (Oleh) on W6/CT-005 (Throop Peak, 2785m, 8 pts) 10.113 cw: [KD7WPJ{NA}]: 0100 qrv now [SMS];outdoors
20;41290;63381;219447;50.75968675;6.09647635;175531983;;(/): To imply that the people are stupid, their choices are irrelevant/unimportant is reminding me of nothing but tyranny.;FALSE;en;7,96E+17;09.11.2016 16:39;123;en;0.971905;(1/2): To imply that the people are stupid, their choices are irrelevant/unimportant is reminding me of nothing but tyranny. #RespecttheVote;other
21;32909;44286;167437;55.9431955;-3.20300845;77694098;;With all this debate on Twitter about privilege I should just like to point out that as a male gamma gammon, I have…;FALSE;en;1,15E+18;18.07.2019 20:47;117;en;0.967088;With all this debate on Twitter about privilege I should just like to point out that as a male gamma gammon, I have… https://t.co/x1IKB8zqfU;other
22;21685;21047;92599;50.85501729999999;4.37546805;22895621;;I'm at ULB - Campus du Solbosh (Avenue Paul Héger, Brussels).;FALSE;fr;16696110689;21.06.2010 14:04;62;en;0.724046;I'm at ULB - Campus du Solbosh (Avenue Paul Héger, Brussels). http://4sq.com/5TU9LW;work
23;3669;115056;441089;3.04013098;101.55390758;587845995;;Packing boxes of food and necessities for flood relief efforts, until we ran out of sardines...;FALSE;en;4,10E+17;09.12.2013 7:25;95;en;0.907612;Packing 1000 boxes of food and necessities for flood relief efforts, until we ran out of sardines...;work
24;23743;25333;105500;49.65819486;6.14052043;28345806;;Where are the people who left on the boat?? Don't pull a Gendry on us;FALSE;en;5,63E+17;05.02.2015 21:53;70;en;0.964202;Where are the people who left on the boat?? Don't pull a Gendry on us #Fortitude;home
